gender,race/ethnicity,parental level of education,lunch,test preparation course,pass exam,
male,group E,some college,standard,none,Yes,
male,group A,associate's degree,standard,none,No,
female,group B,high school,standard,none,No,
female,group D,some college,free/reduced,none,No,
female,group E,high school,standard,none,Yes,
male,group D,some high school,standard,completed,No,
male,group C,some college,standard,none,Yes,
female,group B,associate's degree,standard,completed,No,
male,group D,some college,standard,completed,No,
female,group B,high school,free/reduced,completed,No,
